County,Measure,Population 16 years and over,16 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),White alone not Hispanic or Latino,Population 20 to 64 years,Male,Female,Below poverty level,At or above the poverty level,Population 25 to 64 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Albany,Total,256580,19917,31581,21062,19551,35103,37136,20877,19482,29717,22154,196800,29833,380,16552,98,3746,9171,13857,189887,184792,90763,94029,22255,156539,153211,10568,29612,42614,70417
Albany,Labor Force Participation Rate,65.10%,40.90%,74.40%,88.70%,89.10%,86.90%,86.30%,72.90%,60.60%,28.10%,6.60%,64.90%,65.60%,50.80%,67.40%,50.00%,66.80%,63.70%,66.60%,64.80%,80.70%,82.30%,79.20%,51.10%,86.60%,82.00%,64.90%,72.70%,81.50%,88.80%
Albany,Unemployment rate,4.60%,19.40%,6.70%,2.70%,5.30%,3.00%,2.50%,3.60%,4.60%,3.20%,0.70%,3.50%,10.50%,5.20%,4.50%,36.70%,5.10%,8.00%,6.00%,3.50%,3.90%,3.70%,4.10%,18.00%,2.60%,3.40%,9.80%,5.00%,3.60%,2.00%
Allegany,Total,38155,4078,4171,2299,2316,4644,5321,3319,3281,5087,3639,36297,742,95,462,10,125,424,621,35917,25351,12817,12534,3798,19565,21180,1542,7104,7631,4903
Allegany,Labor Force Participation Rate,54.50%,29.90%,62.90%,82.30%,81.60%,81.80%,76.00%,67.70%,49.90%,24.10%,5.80%,54.90%,,44.20%,61.00%,50.00%,52.80%,51.70%,45.90%,55.00%,71.50%,74.30%,68.70%,38.30%,80.30%,73.20%,45.70%,68.40%,75.80%,84.80%
Allegany,Unemployment rate,5.20%,13.30%,6.70%,7.50%,8.90%,3.60%,2.20%,4.10%,1.50%,7.60%,0.00%,5.10%,8.10%,14.30%,6.40%,0.00%,0.00%,10.00%,5.30%,5.10%,4.60%,5.60%,3.40%,17.30%,3.60%,4.20%,5.70%,6.50%,2.70%,3.30%
Bronx,Total,1111242,76754,104304,120781,106551,180420,178329,86106,73840,102871,81286,249947,387512,7309,44353,1355,349654,71112,607774,109564,850331,400035,450296,194565,643167,746027,173543,207359,205704,159421
Bronx,Labor Force Participation Rate,59.20%,21.90%,65.80%,78.50%,79.20%,78.50%,74.50%,65.00%,51.40%,20.50%,4.30%,54.00%,60.60%,52.40%,59.30%,73.10%,60.70%,63.00%,60.40%,51.60%,72.50%,76.30%,69.10%,44.00%,82.40%,73.40%,57.60%,72.00%,78.00%,86.60%
Bronx,Unemployment rate,10.10%,34.50%,19.80%,12.20%,10.10%,7.80%,6.40%,6.80%,5.40%,5.00%,9.00%,8.20%,11.00%,10.90%,6.30%,5.60%,10.50%,10.90%,10.30%,6.90%,9.60%,9.70%,9.40%,29.10%,6.40%,8.30%,11.80%,9.50%,8.00%,4.70%
Broome,Total,159579,12778,19245,11254,10245,19910,22163,13877,13426,19599,17082,137530,7663,331,7482,133,1963,4477,5884,134948,110120,55238,54882,20771,86168,90875,8618,25339,29257,27661
Broome,Labor Force Participation Rate,56.50%,29.20%,65.80%,81.40%,82.40%,79.30%,78.50%,71.00%,56.10%,23.30%,6.30%,56.40%,59.20%,49.50%,54.50%,73.70%,48.20%,64.50%,53.00%,56.40%,73.40%,75.90%,70.90%,46.90%,81.80%,75.00%,47.10%,68.00%,77.90%,87.10%
Broome,Unemployment rate,7.60%,23.20%,13.70%,11.50%,6.80%,6.10%,4.30%,3.80%,5.00%,3.30%,4.60%,6.50%,22.00%,20.70%,7.40%,0.00%,16.00%,11.50%,11.80%,6.50%,7.20%,8.20%,6.10%,26.00%,4.50%,6.00%,12.30%,7.70%,5.10%,4.60%
Cattaraugus,Total,61632,4106,4801,4154,4191,8279,9812,5614,5929,8617,6129,57231,818,1724,452,0,358,1049,1051,56646,42780,21436,21344,6785,35240,37979,3475,14382,12419,7703
Cattaraugus,Labor Force Participation Rate,57.50%,33.70%,72.50%,84.20%,81.20%,81.40%,77.10%,70.20%,50.80%,22.70%,7.20%,57.80%,36.90%,49.90%,62.40%,-,65.40%,62.10%,53.10%,57.90%,73.90%,76.70%,71.20%,41.50%,81.10%,74.10%,49.10%,70.20%,77.90%,86.80%
Cattaraugus,Unemployment rate,5.60%,11.10%,11.80%,6.20%,4.50%,4.10%,5.60%,3.00%,3.20%,4.10%,10.40%,5.20%,23.20%,10.90%,5.00%,-,10.30%,10.00%,5.00%,5.20%,5.40%,6.10%,4.60%,21.90%,3.70%,4.60%,13.90%,5.90%,3.60%,1.50%
Cayuga,Total,63786,3770,4404,4974,4665,9028,10337,6006,6018,8534,6050,58438,2691,89,399,51,547,1571,1731,57660,45432,23868,21564,5238,36997,41028,4686,12992,14197,9153
Cayuga,Labor Force Participation Rate,59.00%,48.40%,76.10%,74.80%,78.40%,74.70%,77.80%,69.60%,55.60%,26.30%,8.60%,60.40%,22.60%,44.90%,55.90%,66.70%,52.80%,70.80%,52.10%,60.50%,72.70%,72.30%,73.20%,38.50%,83.10%,72.40%,35.70%,70.70%,76.40%,87.30%
Cayuga,Unemployment rate,4.80%,12.30%,10.80%,7.20%,5.50%,3.40%,1.80%,6.00%,2.30%,2.10%,0.20%,4.60%,8.60%,2.50%,5.90%,0.00%,0.00%,11.30%,9.20%,4.50%,4.60%,4.70%,4.60%,26.10%,3.30%,3.90%,8.90%,5.60%,3.50%,1.70%
Chautauqua,Total,104675,7297,7985,7588,7404,13499,15936,9625,9694,14374,11273,96416,2742,273,615,59,2457,2113,6571,93232,71731,36186,35545,12075,57463,63746,6510,20739,21278,15219
Chautauqua,Labor Force Participation Rate,56.50%,39.60%,71.90%,74.80%,77.70%,80.50%,77.30%,67.80%,55.80%,23.50%,5.20%,57.10%,41.20%,28.20%,66.80%,59.30%,53.50%,54.50%,57.40%,56.90%,72.90%,75.50%,70.30%,43.50%,81.20%,73.00%,45.10%,68.60%,77.30%,85.00%
Chautauqua,Unemployment rate,5.50%,17.00%,13.00%,6.70%,5.90%,2.90%,2.80%,4.30%,5.00%,1.70%,2.40%,5.20%,6.50%,11.70%,1.20%,0.00%,10.30%,11.20%,7.30%,5.30%,5.10%,5.60%,4.60%,17.80%,3.70%,4.20%,5.50%,5.30%,4.50%,2.10%
Chemung,Total,68311,4091,4908,5299,5391,9813,10621,6741,5577,8978,6892,60696,4121,80,1009,0,425,1980,1771,59693,48350,24791,23559,6623,38697,43442,4071,14662,14617,10092
Chemung,Labor Force Participation Rate,58.20%,39.60%,76.40%,76.00%,81.90%,78.20%,78.40%,67.90%,52.70%,23.70%,4.50%,59.20%,38.50%,0.00%,71.80%,-,48.00%,65.70%,54.20%,59.20%,73.80%,74.40%,73.20%,51.90%,82.70%,73.50%,45.00%,67.10%,78.90%,86.70%
Chemung,Unemployment rate,5.90%,15.70%,7.70%,11.50%,5.00%,7.00%,4.10%,2.10%,2.00%,2.70%,3.90%,5.60%,5.60%,-,3.90%,-,0.50%,15.80%,9.50%,5.60%,5.60%,6.40%,4.80%,18.40%,4.30%,5.40%,19.20%,6.50%,5.20%,1.50%
Chenango,Total,38833,2134,2567,2815,2468,5168,6375,3595,3949,5649,4113,37343,332,100,172,14,223,649,759,36990,26937,13602,13335,3526,23168,24370,2424,9670,7773,4503
Chenango,Labor Force Participation Rate,59.60%,41.80%,81.70%,82.00%,82.90%,85.20%,76.60%,77.20%,52.50%,24.70%,6.60%,59.80%,50.60%,27.00%,75.60%,21.40%,55.60%,56.50%,55.30%,59.90%,76.40%,80.50%,72.20%,45.20%,82.00%,75.90%,54.40%,71.80%,79.10%,90.70%
Chenango,Unemployment rate,6.50%,24.20%,13.00%,6.70%,6.70%,5.60%,4.00%,1.90%,5.00%,6.50%,15.50%,6.40%,1.20%,25.90%,0.00%,33.30%,14.50%,12.30%,5.00%,6.40%,5.60%,6.70%,4.50%,28.10%,3.80%,4.80%,5.70%,6.60%,3.70%,3.10%
Clinton,Total,67495,4981,7306,5237,4922,9361,10352,6266,5528,7884,5658,60744,3143,189,956,8,1285,1170,2084,60358,48972,26263,22709,5595,38319,41666,4594,15247,11787,10038
