date,hour,generation,year,month,day,lmp_dam,lmp_rtm,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyl1,skyl2,skyl3,skyl4,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,skyc1,skyc2,skyc3,skyc4,wxcodes,day_of_week
2021-12-30,18,0,2021,12,29,50.29,90,58.7,56.8,93.41,33.33333333333333,1,0,29.796666666666667,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7,CLR,M,M,M,M,5
2021-12-30,19,0,2021,12,29,36.69,57.42100000000001,57.233333333333334,56.3,96.92333333333333,120,2.3333333333333335,0,29.810000000000002,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.166666666666664,CLR,M,M,M,M,5
2021-12-30,20,0,2021,12,29,32.660000000000004,52.49300000000001,56.06666666666667,55.43333333333333,97.73,116.66666666666667,2,0,29.826666666666668,NA,4.583333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.06666666666666,CLR,M,M,M,M,5
2021-12-30,21,0,2021,12,29,28.8,41.02,55.1,54.56666666666667,98.08,133.33333333333334,3.3333333333333335,0,29.84,NA,5.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,CLR,M,M,M,M,5
2021-12-30,22,0,2021,12,29,25.32,83.269,52.03333333333334,51.06666666666666,96.62666666666667,146.66666666666666,2.6666666666666665,0,29.85,NA,6.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,CLR,M,M,M,M,5
2021-12-30,23,0,2021,12,29,24.68,33.551,50.03333333333333,49.36666666666667,97.55,0,0,0,29.85,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,CLR,M,M,M,BR,5
2021-12-30,0,0,2021,12,30,26.02,61.172000000000004,50.666666666666664,49.733333333333334,96.48666666666666,193.33333333333334,4,0,29.85,NA,8.333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.123333333333335,CLR,M,M,M,M,5
2021-12-30,1,0,2021,12,30,24.150000000000002,45.923,51.46666666666667,49.733333333333334,93.89333333333333,206.66666666666666,5,0,29.856666666666666,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.43333333333333,CLR,M,M,M,M,5
2021-12-30,2,0,2021,12,30,22.01,31.792,51.266666666666666,49.166666666666664,92.53333333333333,156.66666666666666,4,0,29.86,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.266666666666666,CLR,M,M,M,M,5
2021-12-30,3,0,2021,12,30,20.91,26.71,47.733333333333334,46.9,96.91333333333333,43.33333333333333,1,0.02,29.853333333333335,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.31666666666666,CLR,M,M,M,M,5
2021-12-30,4,0,2021,12,30,21.38,26.169999999999998,45.800000000000004,45.43333333333333,98.74333333333333,40,1,0,29.853333333333335,NA,0.5,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.35,VV,M,M,M,FG,5
2021-12-30,5,0,2021,12,30,24.93,26.196999999999996,44.36666666666667,44.03333333333333,98.86,146.66666666666666,3.3333333333333335,0,29.86,NA,2.666666666666667,NA,366.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.50333333333333,VV,M,M,M,FG,5
2021-12-30,6,0,2021,12,30,24.52,27.351999999999997,44.13333333333333,43.8,98.73333333333333,126.66666666666667,2,0,29.876666666666665,NA,3,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.18,VV,M,M,M,FG,5
2021-12-30,7,1.4576200000000001,2021,12,30,26.86,28.889,42.8,42.46666666666667,98.85666666666667,86.66666666666667,2,0,29.913333333333334,NA,4.416666666666667,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.61333333333333,VV,M,M,M,BR,5
2021-12-30,8,94.54931,2021,12,30,28.12,28.311,45.733333333333334,45.333333333333336,98.49333333333334,0,0,0,29.93,NA,3.6666666666666665,NA,8066.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.766666666666666,SCT,M,M,M,BR,5
2021-12-30,9,196.91834000000003,2021,12,30,24.830000000000002,30.785000000000004,52.266666666666666,50.333333333333336,93.61,0,0,0,29.95,NA,7.333333333333333,NA,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.266666666666666,SCT,M,M,M,M,5
